  GIMNAZJUM          MARYNARZ         FALBANKA         EDUKACJA
     Nauka             Żołnierz         Sukienka          Men
      Dzieci            Ocean            Zasłona         Szkoła
     Szkoła             Okręt           Materiał       Kształcenie
     Liceum             Morze          Spódniczka         Lata
  Podstawówka           Statek           Ozdoba        Nauczanie

     ćatsoD            reimerP           korK             oniW
       yłZ               dązR            akłiP        imanaraB doP
    aindorbZ         ikradopsoG         oksioB           anmeiC
    akzcuaN           warpS oD           zsoK          ąimeiZ doP
    adorgaN              akeT         akwókyzsoK          moD
     ARAK            RETSINIM          TKATUWD         ACINWIP

     UEFA           BEZPŁATNY         BRUKOWIEC      KEANU REEVES
  Mistrzostwa         Darmowy             Kolor        Constantine
     Europa            Dodatek           Tabloid          Aktor
   Federacja          Pieniądze         Sensacja         Matrix
  Piłka Nożna           Gratis           Gazeta      Johny Mnemonic
      Fifa               Nic             Plotka            Neo

     acarP              tokzS         akradopsoG       gnilkyceR
     atneR            ezdąineiP          orkiM          ytezaG
     aicbaB            surtyhC           orkaM        ćazrawtezrP
    kedaizD            ćawołaŻ        einazdązraZ         pukS
       suZ            zsorgisuD         zdąineiP         reipaP
  ARUTYREME           ARENKS          AIMONOKE       ARUTALUKAM

  AKWARELE          AKUSZERKA         KONIECZNY       BARCELONA
    Malować          Pielęgniarka        Zrobić         Hiszpania
     Farba             Sokrates         Początek            Fc
     Obraz              Poród         Obowiązkowy     Klub Piłkarski
     Woda                Brać         Nieunikniony      Katalonia
     Pędzel             Dzieci           Musieć          Miasto

  kenyzcopdO             adaR              arG           einadZ
    kyskeM               tjóW              ajzA        awomzoR
   akmezrD             yrobyW            ainopaJ          lenaP
   ainapzsiH           ynlakoL          ajcatyrI         tameT
    awrezrP             animG          ikoonśokS       ćizdaworP
    ATSEIS           DĄZROMAS         KYZCŃIHC         AJSUKSYD

 KSIĘŻNICZKA        ZŁOTE MYŚLI        SAMSUNG        AUTOGRAF
      Fiona             Zeszyt         Elektonika      Dedykacja
     Zamek             Aforyzm          Japonia          Sława
     Rycerz        Metal Szlachetny     Komórka           Dać
    Biały Koń           Głowa            Firma            Idol
       Król              Cytat           Marka          Podpis

      mliF            onmeiC W             toK           noiluB
      skeS           einahcokaZ           seiP           rawyW
ewoldnaH murtneC      einaktopS        oksinorhcS       norakaM
    ezdąineiP            oniK            ćapaŁ            aruK
   aktalotsaN        ęiS ćiwómU        leicicśałW         apuZ
 AKNAIRELAG           AKDNAR            LECYH            ŁÓSOR

      SYGNAŁ               KRONIKARZ            ZAKŁADNIK             GINEKOLOG
        Znak                  Skryba               Więzić               Położnik
        Dać                  Spisywac           Counter Strike          Pochwa
       Dźwięk                 Historia             Wziąć                Kobieta
